year,batch_id,reporter_id,reporter_iso3,reporter_name,canonical_name,wto_reporter_code,expected_batch_filename,source_family,acquisition_status,notes
2026,ARG_2026,ARG,ARG,Argentina,Argentina,032,imports_ARG_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,AUS_2026,AUS,AUS,Australia,Australia,036,imports_AUS_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,BRA_2026,BRA,BRA,Brazil,Brazil,076,imports_BRA_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,CAN_2026,CAN,CAN,Canada,Canada,124,imports_CAN_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,CHN_2026,CHN,CHN,China,China,156,imports_CHN_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,DEU_2026,DEU,DEU,Germany,Germany,276,imports_DEU_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,FRA_2026,FRA,FRA,France,France,250,imports_FRA_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,GBR_2026,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,IDN_2026,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,IND_2026,IND,IND,India,India,356,imports_IND_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,ITA_2026,ITA,ITA,Italy,Italy,380,imports_ITA_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,JPN_2026,JPN,JPN,Japan,Japan,392,imports_JPN_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,KOR_2026,KOR,KOR,South Korea,South Korea,410,imports_KOR_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,MEX_2026,MEX,MEX,Mexico,Mexico,484,imports_MEX_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,RUS_2026,RUS,RUS,Russia,Russia,643,imports_RUS_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,SAU_2026,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,TUR_2026,TUR,TUR,Turkey,Turkey,792,imports_TUR_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,USA_2026,USA,USA,United States,United States,840,imports_USA_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2026,ZAF_2026,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2026.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,ARG_2025,ARG,ARG,Argentina,Argentina,032,imports_ARG_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,AUS_2025,AUS,AUS,Australia,Australia,036,imports_AUS_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,BRA_2025,BRA,BRA,Brazil,Brazil,076,imports_BRA_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,CAN_2025,CAN,CAN,Canada,Canada,124,imports_CAN_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,CHN_2025,CHN,CHN,China,China,156,imports_CHN_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,DEU_2025,DEU,DEU,Germany,Germany,276,imports_DEU_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,FRA_2025,FRA,FRA,France,France,250,imports_FRA_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,GBR_2025,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,IDN_2025,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,IND_2025,IND,IND,India,India,356,imports_IND_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,ITA_2025,ITA,ITA,Italy,Italy,380,imports_ITA_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,JPN_2025,JPN,JPN,Japan,Japan,392,imports_JPN_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,KOR_2025,KOR,KOR,South Korea,South Korea,410,imports_KOR_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,MEX_2025,MEX,MEX,Mexico,Mexico,484,imports_MEX_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
